country,year,population,gdp,infant_mortality,life_expectancy,fertility
Netherlands,2002,16076427,392790134494,4.9,78.5,1.73
Netherlands,2003,16167421,394108353879,4.7,78.7,1.75
Netherlands,2004,16253397,402922644615,4.6,79.1,1.73
Netherlands,2005,16331646,411168323101,4.5,79.6,1.71
Netherlands,2006,16401105,425124149957,4.3,79.9,1.72
Netherlands,2007,16463031,441791696641,4.2,80.2,1.72
Netherlands,2008,16519862,449761878488,4,80.3,1.77
Netherlands,2009,16575173,433855151011,3.8,80.6,1.79
Netherlands,2010,16631571,441185443862,3.7,80.8,1.8
Netherlands,2011,16689863,446362217923,3.6,80.9,1.76
