Google Dengue Trends weekly dengue activity for the world
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
"If you choose to use the data, please attribute it to Google as follows: ""Data Source: Google Dengue Trends (http://www.google.org/denguetrends)""."

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/denguetrends

Date,Argentina,Bolivia,Brazil,India,Indonesia,Mexico,Philippines,Singapore,Thailand,Venezuela
2002-12-29,,0.101,0.073,0.062,0.101,,,0.059,,
2003-01-05,,0.143,0.098,0.047,0.039,,,0.059,,
2003-01-12,,0.176,0.119,0.051,0.059,0.071,,0.238,,
2003-01-19,,0.173,0.170,0.032,0.039,0.052,,0.175,,
2003-01-26,,0.146,0.138,0.040,0.112,0.048,,0.164,,
2003-02-02,,0.160,0.202,0.038,0.049,0.041,,0.163,,
2003-02-09,,0.225,0.179,0.019,0.060,0.042,,0.150,,
2003-02-16,0.046,0.109,0.239,0.008,0.039,0.049,,0.144,,0.139
2003-02-23,0.048,0.147,0.205,0.022,0.078,0.054,,0.142,,0.137
2003-03-02,0.051,0.119,0.142,0.028,0.048,0.075,,0.129,,0.168
2003-03-09,0.051,0.195,0.280,0.003,0.089,0.096,,0.130,,0.169
2003-03-16,0.046,0.289,0.162,0.006,0.080,0.064,,0.120,,0.157
2003-03-23,0.043,0.227,0.170,0.015,0.054,0.073,,0.115,,0.154
